dataset,method,seed,fold,total_features,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,sensitivity,specificity,jaccard_stability,nogueira_stability
wine,DFA-EHOA,123,holdout,13,7,0.5384615384615384,0.03269496021220165,54,0.9536046999855898,0.29551780372824626,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 2, 7, 9, 10, 11, 12]",0.9722222222222222,0.9761904761904763,0.974320987654321,0.9591605129565426,0.9761904761904763,0.9861111111111112,0.4567171717171717,0.19829222011385195
wine,EHOA,2026,holdout,13,7,0.5384615384615384,0.01903978779840841,27,0.6359792999573983,0.2987189786929232,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 3, 4, 6, 9, 12]",0.9444444444444444,0.942857142857143,0.9453132832080201,0.9167700309890295,0.942857142857143,0.970959595959596,0.44682539682539685,0.19981060606060608
wine,SF-EHOA,2026,holdout,13,7,0.5384615384615384,0.01903978779840841,27,0.3831526000285521,0.2987189786929232,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 3, 4, 6, 9, 12]",0.9444444444444444,0.942857142857143,0.9453132832080201,0.9167700309890295,0.942857142857143,0.970959595959596,0.4113888888888889,0.1382575757575757
wine,IG-EHOA,2026,holdout,13,7,0.5384615384615384,0.01903978779840841,27,0.4556371999788098,0.2987189786929232,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 3, 4, 6, 9, 12]",0.9444444444444444,0.942857142857143,0.9453132832080201,0.9167700309890295,0.942857142857143,0.970959595959596,0.4186832611832612,0.13662239089184047
wine,DFA-EHOA,2026,holdout,13,7,0.5384615384615384,0.01903978779840841,27,0.4150960000115447,0.2987189786929232,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 3, 4, 6, 9, 12]",0.9444444444444444,0.942857142857143,0.9453132832080201,0.9167700309890295,0.942857142857143,0.970959595959596,0.4567171717171717,0.19829222011385195
wine,EHOA,3407,holdout,13,6,0.46153846153846156,0.025829670329670262,56,1.0069024999975227,0.3347665247996263,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 4, 5, 9, 11, 12]",0.9166666666666666,0.9285714285714285,0.9163636363636364,0.8824268017915037,0.9285714285714285,0.9604700854700855,0.44682539682539685,0.19981060606060608
wine,SF-EHOA,3407,holdout,13,6,0.46153846153846156,0.025829670329670262,51,0.8828659999999218,0.3347665247996263,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 4, 5, 9, 11, 12]",0.9166666666666666,0.9285714285714285,0.9163636363636364,0.8824268017915037,0.9285714285714285,0.9604700854700855,0.4113888888888889,0.1382575757575757
wine,IG-EHOA,3407,holdout,13,6,0.46153846153846156,0.025829670329670262,60,0.83100290002767,0.3347665247996263,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 4, 5, 9, 11, 12]",0.9166666666666666,0.9285714285714285,0.9163636363636364,0.8824268017915037,0.9285714285714285,0.9604700854700855,0.4186832611832612,0.13662239089184047
wine,DFA-EHOA,3407,holdout,13,6,0.46153846153846156,0.025829670329670262,51,0.7732889999751933,0.3347665247996263,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 4, 5, 9, 11, 12]",0.9166666666666666,0.9285714285714285,0.9163636363636364,0.8824268017915037,0.9285714285714285,0.9604700854700855,0.4567171717171717,0.19829222011385195
wine,EHOA,8675309,holdout,13,7,0.5384615384615384,0.03342648730579759,26,0.3494215999962762,0.43123999440479754,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 5, 6, 9, 10, 11, 12]",0.8611111111111112,0.8714285714285714,0.862962962962963,0.7995360116809695,0.8714285714285714,0.9303613053613055,0.44682539682539685,0.19981060606060608
wine,SF-EHOA,8675309,holdout,13,7,0.5384615384615384,0.03342648730579759,25,0.5056012000422925,0.43123999440479754,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 5, 6, 9, 10, 11, 12]",0.8611111111111112,0.8714285714285714,0.862962962962963,0.7995360116809695,0.8714285714285714,0.9303613053613055,0.4113888888888889,0.1382575757575757
wine,IG-EHOA,8675309,holdout,13,10,0.7692307692307693,0.021591322470632814,67,1.1332307999837212,0.330400061786388,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 2, 3, 5, 6, 7, 9, 11, 12]",0.8888888888888888,0.9047619047619048,0.8885003885003885,0.8457943925233645,0.9047619047619048,0.9465811965811964,0.4186832611832612,0.13662239089184047
wine,DFA-EHOA,8675309,holdout,13,7,0.5384615384615384,0.012456043956043935,56,0.7881288999924436,0.33600241489375093,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 3, 6, 9, 10, 12]",0.9166666666666666,0.919047619047619,0.9162962962962963,0.8751464534275023,0.919047619047619,0.9581390831390832,0.4567171717171717,0.19829222011385195
